SubjID,Dice,RO,Percent_of_Region_1_In_Overlap,Percent_of_Region_2_In_Overlap,Hem,Test
31807,0.86908369,0.76847744,0.903344929,0.837326348,RIGHT,HippodeepvsManual
31807,0.754305273,0.605529785,0.852308452,0.676515758,LEFT,FSsubfieldsvsManual
31807,0.726639582,0.57064724,0.815812349,0.655040085,RIGHT,FSsubfieldsvsManual
31812,0.644271272,0.475221366,0.931486011,0.492433995,LEFT,FSasegvsManual
31812,0.634976284,0.465176016,0.909332573,0.487801015,RIGHT,FSasegvsManual
31812,0.840964508,0.725572705,0.94518882,0.757442653,LEFT,HippodeepvsManual
31812,0.819680511,0.694456458,0.94713527,0.722460032,RIGHT,HippodeepvsManual
31812,0.696626416,0.534479439,0.852009773,0.589176655,LEFT,FSsubfieldsvsManual
31812,0.712637976,0.553564548,0.848493814,0.614282668,RIGHT,FSsubfieldsvsManual
31816,0.677342484,0.512107253,0.90476191,0.541285813,LEFT,FSasegvsManual
31816,0.671092564,0.504995704,0.858737886,0.550747216,RIGHT,FSasegvsManual
31816,0.855400897,0.747336686,0.946778715,0.780109107,LEFT,HippodeepvsManual
31816,0.836468576,0.718905032,0.949757278,0.747326195,RIGHT,HippodeepvsManual
31816,0.731283277,0.576396048,0.856888235,0.637793779,LEFT,FSsubfieldsvsManual
31816,0.696162157,0.533933103,0.821116507,0.604215026,RIGHT,FSsubfieldsvsManual
31821,0.621035691,0.450363874,0.873502016,0.481786132,LEFT,FSasegvsManual
31821,0.625791595,0.455383331,0.853441536,0.494016051,RIGHT,FSasegvsManual
31821,0.863127131,0.759211659,0.943808258,0.795153677,LEFT,HippodeepvsManual
31821,0.829419177,0.708553553,0.94739598,0.737571299,RIGHT,HippodeepvsManual
31821,0.646479464,0.477628112,0.821571231,0.532907248,LEFT,FSsubfieldsvsManual
31821,0.66630482,0.499593019,0.803192854,0.569282115,RIGHT,FSsubfieldsvsManual
31822,0.685224839,0.521172643,0.898417532,0.553807437,LEFT,FSasegvsManual
31822,0.665585001,0.498784125,0.892865777,0.530535996,RIGHT,FSasegvsManual
31822,0.825442798,0.702769339,0.945635557,0.732358158,LEFT,HippodeepvsManual
31822,0.830779055,0.710540712,0.943893611,0.741874158,RIGHT,HippodeepvsManual
31822,0.722859665,0.565998614,0.836140871,0.636610985,LEFT,FSsubfieldsvsManual
31822,0.72308494,0.566274881,0.838935912,0.635347962,RIGHT,FSsubfieldsvsManual
31859,0.665515868,0.49870646,0.623228073,0.713960111,LEFT,FSasegvsManual
31859,0.65666253,0.488829166,0.814213753,0.550198555,RIGHT,FSasegvsManual
31859,0.729330115,0.57397294,0.601094246,0.927119315,LEFT,HippodeepvsManual
31859,0.847561756,0.735450923,0.926413,0.781080425,RIGHT,HippodeepvsManual
31859,0.717893315,0.55993259,0.661029577,0.785461009,LEFT,FSsubfieldsvsManual
31859,0.691147379,0.528055906,0.78203696,0.619184732,RIGHT,FSsubfieldsvsManual
31861,0.746203905,0.595155716,0.818463027,0.685668707,LEFT,FSasegvsManual
31861,0.678082192,0.512953341,0.859052539,0.560091734,RIGHT,FSasegvsManual
31861,0.876767677,0.780575514,0.877706409,0.875830948,LEFT,HippodeepvsManual
31861,0.837652602,0.720655978,0.917213857,0.770792246,RIGHT,HippodeepvsManual
31861,0.795404433,0.660308301,0.815369964,0.776393294,LEFT,FSsubfieldsvsManual
31861,0.733319562,0.578930199,0.832551599,0.65522331,RIGHT,FSsubfieldsvsManual
31862,0.68044295,0.515660107,0.92649436,0.537656248,LEFT,FSasegvsManual
31862,0.677982355,0.512839139,0.905249655,0.541928589,RIGHT,FSasegvsManual
31862,0.820423758,0.695524156,0.953957975,0.719683111,LEFT,HippodeepvsManual
31862,0.795997418,0.661126018,0.947247148,0.686398208,RIGHT,HippodeepvsManual
31862,0.74135054,0.589004755,0.897145927,0.631658792,LEFT,FSsubfieldsvsManual
31862,0.715375524,0.556875229,0.852496803,0.616253257,RIGHT,FSsubfieldsvsManual
31865,0.627076322,0.456745207,0.931612909,0.472590417,LEFT,FSasegvsManual
31865,0.652222721,0.483924717,0.935587764,0.500603139,RIGHT,FSasegvsManual
31865,0.799141285,0.665474832,0.960645139,0.6841259,LEFT,HippodeepvsManual
31865,0.785732815,0.647083938,0.975523353,0.657763302,RIGHT,HippodeepvsManual
31865,0.670892495,0.504769146,0.853548408,0.552631557,LEFT,FSsubfieldsvsManual
31865,0.685196675,0.521140039,0.889210939,0.55732739,RIGHT,FSsubfieldsvsManual
31867,0.761366157,0.614682198,0.885021925,0.668028772,LEFT,FSasegvsManual
31867,0.69523269,0.532840371,0.885755599,0.572162569,RIGHT,FSasegvsManual
31867,0.881704629,0.788436294,0.928074241,0.839748085,LEFT,HippodeepvsManual
31867,0.838058419,0.721256912,0.940467596,0.75576216,RIGHT,HippodeepvsManual
31867,0.781238811,0.641010582,0.84377414,0.727333307,LEFT,FSsubfieldsvsManual
31867,0.74126765,0.588900149,0.841407597,0.662428856,RIGHT,FSsubfieldsvsManual
31884,0.672432432,0.506514668,0.867173612,0.549117148,LEFT,FSasegvsManual
31884,0.644457319,0.475423843,0.817091107,0.532047212,RIGHT,FSasegvsManual
31884,0.86930168,0.768818378,0.872496843,0.866129816,LEFT,HippodeepvsManual
31884,0.859782482,0.754051268,0.900097966,0.82292366,RIGHT,HippodeepvsManual
31884,0.708572769,0.548674166,0.765779495,0.659319103,LEFT,FSsubfieldsvsManual
31884,0.69218116,0.529263794,0.772771776,0.626812339,RIGHT,FSsubfieldsvsManual
31897,0.692104962,0.529174685,0.810955942,0.603637815,LEFT,FSasegvsManual
31897,0.697319833,0.535296261,0.738395572,0.660573244,RIGHT,FSasegvsManual
31897,0.859098541,0.752999783,0.893125653,0.827569067,LEFT,HippodeepvsManual
31897,0.865852122,0.763438463,0.867053509,0.864654064,RIGHT,HippodeepvsManual
31897,0.736146416,0.582461774,0.777658403,0.698841691,LEFT,FSsubfieldsvsManual
